 
.1.wav.json vs .3.wav.json: spectral.flux.ch1: 0.00585391 (File1), 0.0282898 (File2), Absolute Difference: 0.0224359
.1.wav.json vs .3.wav.json: spectral.flux.ch2: 0.010021 (File1), 0 (File2), Absolute Difference: .010021
.1.wav.json vs .3.wav.json: spectral.slope.ch1: -0.0000152506 (File1), -0.0000433913 (File2), Absolute Difference: .0000281407
.1.wav.json vs .3.wav.json: spectral.slope.ch2: -0.0000204871 (File1), 0 (File2), Absolute Difference: 2.04871e-05
.1.wav.json vs .3.wav.json: spectral.decrease.ch1: 0.000887567 (File1), 0.00119398 (File2), Absolute Difference: 0.000306413
.1.wav.json vs .3.wav.json: spectral.decrease.ch2: -0.00395933 (File1), 0 (File2), Absolute Difference: 0.00395933
.1.wav.json vs .3.wav.json: spectral.rolloff.ch1: 2511.06 (File1), 5384.34 (File2), Absolute Difference: 2873.28
.1.wav.json vs .3.wav.json: spectral.rolloff.ch2: 3603.69 (File1), 0 (File2), Absolute Difference: 3603.69
.1.wav.json vs .5.wav.json: metadata.format.duration: 7.759478 (File1), 9.316803 (File2), Absolute Difference: 1.55733
.1.wav.json vs .5.wav.json: loudness.max_volume: -2.0 (File1), 0.0 (File2), Absolute Difference: 2
.1.wav.json vs .5.wav.json: loudness.mean_volume: -30.3 (File1), -26.9 (File2), Absolute Difference: 3.4
.1.wav.json vs .5.wav.json: loudness.integrated_lufs: -18.7 (File1), -12.9 (File2), Absolute Difference: 5.8
.1.wav.json vs .5.wav.json: loudness.threshold: -42.8 (File1), -48.0 (File2), Absolute Difference: 5.2
.1.wav.json vs .5.wav.json: loudness.lra: 5.2 (File1), 30.2 (File2), Absolute Difference: 25
.1.wav.json vs .5.wav.json: spectral.centroid.ch1: 1239.22 (File1), 8596.14 (File2), Absolute Difference: 7356.92
.1.wav.json vs .5.wav.json: spectral.centroid.ch2: 1739.45 (File1), 8367.51 (File2), Absolute Difference: 6628.06
.1.wav.json vs .5.wav.json: spectral.variance.ch1: 2.92949E-9 (File1), 1.11087E-8 (File2), Absolute Difference: 15.1814
.1.wav.json vs .5.wav.json: spectral.variance.ch2: 7.60612E-9 (File1), 9.37049E-9 (File2), Absolute Difference: 19.7644
.1.wav.json vs .5.wav.json: spectral.spread.ch1: 1206 (File1), 7386.09 (File2), Absolute Difference: 6180.09
.1.wav.json vs .5.wav.json: spectral.spread.ch2: 1707.59 (File1), 7325.21 (File2), Absolute Difference: 5617.62
.1.wav.json vs .5.wav.json: spectral.skewness.ch1: 1.12663 (File1), 0.494396 (File2), Absolute Difference: .632234
.1.wav.json vs .5.wav.json: spectral.skewness.ch2: 1.24188 (File1), 0.543046 (File2), Absolute Difference: .698834
.1.wav.json vs .5.wav.json: spectral.kurtosis.ch1: 2.25577 (File1), 2.18301 (File2), Absolute Difference: .07276
.1.wav.json vs .5.wav.json: spectral.kurtosis.ch2: 3.41568 (File1), 2.22898 (File2), Absolute Difference: 1.18670
.1.wav.json vs .5.wav.json: spectral.entropy.ch1: 0.193421 (File1), 0.152389 (File2), Absolute Difference: .041032
.1.wav.json vs .5.wav.json: spectral.entropy.ch2: 0.205477 (File1), 0.136211 (File2), Absolute Difference: .069266
.1.wav.json vs .5.wav.json: spectral.flatness.ch1: 0.133161 (File1), 0.660117 (File2), Absolute Difference: 0.526956
.1.wav.json vs .5.wav.json: spectral.flatness.ch2: 0.212222 (File1), 0.652975 (File2), Absolute Difference: 0.440753
.1.wav.json vs .5.wav.json: spectral.crest.ch1: 8.03202 (File1), 847.427 (File2), Absolute Difference: 839.395
.1.wav.json vs .5.wav.json: spectral.crest.ch2: 6.10815 (File1), 901.54 (File2), Absolute Difference: 895.432
.1.wav.json vs .5.wav.json: spectral.flux.ch1: 0.00585391 (File1), 0.0107374 (File2), Absolute Difference: 0.00488349
.1.wav.json vs .5.wav.json: spectral.flux.ch2: 0.010021 (File1), 0.0097175 (File2), Absolute Difference: .0003035
.1.wav.json vs .5.wav.json: spectral.slope.ch1: -0.0000152506 (File1), -0.00000626382 (File2), Absolute Difference: 8.98678e-06
.1.wav.json vs .5.wav.json: spectral.slope.ch2: -0.0000204871 (File1), -0.00000603887 (File2), Absolute Difference: 1.44482e-05
.1.wav.json vs .5.wav.json: spectral.decrease.ch1: 0.000887567 (File1), -0.0427588 (File2), Absolute Difference: .043646367
.1.wav.json vs .5.wav.json: spectral.decrease.ch2: -0.00395933 (File1), -0.0410658 (File2), Absolute Difference: .03710647
.1.wav.json vs .5.wav.json: spectral.rolloff.ch1: 2511.06 (File1), 17527.3 (File2), Absolute Difference: 15016.2
.1.wav.json vs .5.wav.json: spectral.rolloff.ch2: 3603.69 (File1), 17427 (File2), Absolute Difference: 13823.3
.1.wav.json vs .BellG.wav.json: metadata.format.duration: 7.759478 (File1), 4.365351 (File2), Absolute Difference: 3.394127
.1.wav.json vs .BellG.wav.json: loudness.max_volume: -2.0 (File1), 0.0 (File2), Absolute Difference: 2
.1.wav.json vs .BellG.wav.json: loudness.mean_volume: -30.3 (File1), -26.5 (File2), Absolute Difference: 3.8
.1.wav.json vs .BellG.wav.json: loudness.integrated_lufs: -18.7 (File1), -12.5 (File2), Absolute Difference: 6.2
.1.wav.json vs .BellG.wav.json: loudness.threshold: -42.8 (File1), -42.9 (File2), Absolute Difference: .1
.1.wav.json vs .BellG.wav.json: loudness.lra: 5.2 (File1), 22.9 (File2), Absolute Difference: 17.7
.1.wav.json vs .BellG.wav.json: spectral.centroid.ch1: 1239.22 (File1), 7731.92 (File2), Absolute Difference: 6492.7
.1.wav.json vs .BellG.wav.json: spectral.centroid.ch2: 1739.45 (File1), 7595.76 (File2), Absolute Difference: 5856.31
.1.wav.json vs .BellG.wav.json: spectral.variance.ch1: 2.92949E-9 (File1), 8.5788E-9 (File2), Absolute Difference: 23.6494
.1.wav.json vs .BellG.wav.json: spectral.variance.ch2: 7.60612E-9 (File1), 1.11941E-8 (File2), Absolute Difference: 10.5133
.1.wav.json vs .BellG.wav.json: spectral.spread.ch1: 1206 (File1), 6418.22 (File2), Absolute Difference: 5212.22
.1.wav.json vs .BellG.wav.json: spectral.spread.ch2: 1707.59 (File1), 6428.7 (File2), Absolute Difference: 4721.11
.1.wav.json vs .BellG.wav.json: spectral.skewness.ch1: 1.12663 (File1), 0.63225 (File2), Absolute Difference: .49438
.1.wav.json vs .BellG.wav.json: spectral.skewness.ch2: 1.24188 (File1), 0.698704 (File2), Absolute Difference: .543176
.1.wav.json vs .BellG.wav.json: spectral.kurtosis.ch1: 2.25577 (File1), 2.50961 (File2), Absolute Difference: 0.25384
.1.wav.json vs .BellG.wav.json: spectral.kurtosis.ch2: 3.41568 (File1), 2.56909 (File2), Absolute Difference: .84659
.1.wav.json vs .BellG.wav.json: spectral.entropy.ch1: 0.193421 (File1), 0.310759 (File2), Absolute Difference: 0.117338
.1.wav.json vs .BellG.wav.json: spectral.entropy.ch2: 0.205477 (File1), 0.347881 (File2), Absolute Difference: 0.142404
.1.wav.json vs .BellG.wav.json: spectral.flatness.ch1: 0.133161 (File1), 0.61256 (File2), Absolute Difference: 0.479399
.1.wav.json vs .BellG.wav.json: spectral.flatness.ch2: 0.212222 (File1), 0.620651 (File2), Absolute Difference: 0.408429
.1.wav.json vs .BellG.wav.json: spectral.crest.ch1: 8.03202 (File1), 855.746 (File2), Absolute Difference: 847.714
.1.wav.json vs .BellG.wav.json: spectral.crest.ch2: 6.10815 (File1), 678.795 (File2), Absolute Difference: 672.687
.1.wav.json vs .BellG.wav.json: spectral.flux.ch1: 0.00585391 (File1), 0.0135135 (File2), Absolute Difference: 0.00765959
.1.wav.json vs .BellG.wav.json: spectral.flux.ch2: 0.010021 (File1), 0.0152651 (File2), Absolute Difference: 0.0052441
.1.wav.json vs .BellG.wav.json: spectral.slope.ch1: -0.0000152506 (File1), -0.00000981366 (File2), Absolute Difference: 5.43694e-06
.1.wav.json vs .BellG.wav.json: spectral.slope.ch2: -0.0000204871 (File1), -0.0000116779 (File2), Absolute Difference: 8.8092e-06
.1.wav.json vs .BellG.wav.json: spectral.decrease.ch1: 0.000887567 (File1), -0.0000591952 (File2), Absolute Difference: .0009467622
.1.wav.json vs .BellG.wav.json: spectral.decrease.ch2: -0.00395933 (File1), -0.000164379 (File2), Absolute Difference: 0.00379495
.1.wav.json vs .BellG.wav.json: spectral.rolloff.ch1: 2511.06 (File1), 15853 (File2), Absolute Difference: 13341.9
.1.wav.json vs .BellG.wav.json: spectral.rolloff.ch2: 3603.69 (File1), 15724.4 (File2), Absolute Difference: 12120.7
.1.wav.json vs .CelloA3.wav.json: metadata.format.duration: 7.759478 (File1), 9.008912 (File2), Absolute Difference: 1.24943
.1.wav.json vs .CelloA3.wav.json: loudness.max_volume: -2.0 (File1), -12.9 (File2), Absolute Difference: 10.9
.1.wav.json vs .CelloA3.wav.json: loudness.mean_volume: -30.3 (File1), -25.7 (File2), Absolute Difference: 4.6
